id	url	name	category
1	http://blackchicagoeats.com/	Black Chicago Eats	Chicago
2	https://www.chicagotribune.com/redeye/ct-redeye-black-owned-restaurants-north-side-chicago-20181105-story.html	RedEye Black Restaurants on the North Side	Chicago
3	https://www.assatasdaughters.org/	Assatas Daughters	Chicago
4	https://www.formyblock.org/	My Block My Hood My City	Chicago
5	https://www.blackvisionsmn.org/	Black Visions Collective MN	Minnesota
6	https://www.reclaimtheblock.org/	Reclaim the Block	Minnesota
7	https://chicagobond.org/	Chicago Community Bond Fund	Chicago
8	https://stylishcurves.com/black-owned-plus-size-clothing-brands/	Plus-Size Clothing Brands	Black-Owned Online Business
9	https://stephano.me/fashion/blog/black-owned-kawaii-brands-list	Kawaii Brands	Black-Owned Online Business
10	https://themadmommy.com/black-owned-etsy-shops/	Black-Owned Etsy	Black-Owned Online Business
11	https://docs.google.com/document/d/1yLWGTQIe3967hdc9RSxBq5s6KKZHe-3_mWp5oemd7OA/preview?pru=AAABcpUiX3k*Y6Q4I6UBtkH3lLz9GVLg0	Official Doc from Minnesota Freedom Fund	Minnesota
12	https://www.nytimes.com/2020/06/02/parenting/kids-books-racism-protest.html	Kids Books on Racism	Educate
13	https://act.colorofchange.org/sign/justiceforbre-breonna-taylor-officers-fired/	Justice for Breonna Taylor	Petitions
14	https://www.gofundme.com/f/support-the-work	Chicago Equity and Transformation Fund	Chicago
15	https://www.caarpr.org/fundraising	Chicago Alliance Against Racist and Political Repression	Chicago
16	https://www.gofundme.com/f/tefx6e-good-kids-mad-city	Good Kids Mad City	Chicago
17	https://thetriibe.com/	The TRiiBE	Black Activists
18	https://www.bravespacealliance.org/donate	Brave Space Alliance	Black Activists
19	https://www.blacklivesmatterchicago.com/donate/	Black Lives Matter Chicago	Chicago
20	http://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/	Black-Owned in Minneapolis	Minnesota
21	https://thelovelandfoundation.org/	Therapy Fund for Black Women and Girls	Donate
22	http://criticalresistance.org/abolish-policing/	Critical Resistance	Educate
23	https://sayitagain.carrd.co/	Petition Carrd Links	Donate
24	https://sheamakery.com/collections/all	Shea Shea Bakery Skincare	Black-Owned Online Business
25	https://www.obama.org/anguish-and-action/	Obama - Anguish and Action	Educate
26	https://medium.com/equality-includes-you/what-white-people-can-do-for-racial-justice-f2d18b0e0234	What White People Can Do For Racial Justice	Educate
27	https://blacklivesmatters.carrd.co/	Black Lives Matter Carrd	Donate
28	https://docs.google.com/document/u/0/d/1H-Vxs6jEUByXylMS2BjGH1kQ7mEuZnHpPSs1Bpaqmw0/mobilebasic	Justice in June	Educate
29	https://chipublib.bibliocommons.com/item/show/1959942126	CPL Sources	Chicago
30	https://msha.ke/seasonedandblessed/	Tons of Chicago Links	Chicago
31	http://www.kusanyacafe.org/home	Kusanya Cafe	Chicago